test,ber,snr,throughput,M,cplen,pilotSpacing,numActiveCarriers,useCoding,fc,distance,volume,constraintLength,modscheme
fc_carrier_sweep,0.024972,-16.3442,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.501604,-23.9793,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.025705,-16.5558,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.023054,-17.1871,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.023228,-15.958,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.039446,-19.6865,12500,4,256,5,750,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.041016,-15.5038,12500,4,256,5,750,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.040039,-17.5582,12500,4,256,5,750,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.055141,-14.5305,13333.3333,4,256,5,800,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.052281,-20.3597,13333.3333,4,256,5,800,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.054653,-12.9444,13333.3333,4,256,5,800,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.499791,-9.65,13333.3333,4,256,5,800,1,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.493583,-12.4205,13333.3333,4,256,5,800,1,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.055525,-18.2448,13333.3333,4,256,5,800,0,8000,1.5,75,3,qpsk
